DANCe RAJ2000_1 RAJ2000_2 RAJ2000_3 DEJ2000_1 DEJ2000_2 DEJ2000_3 pmRA e_pmRA pmDE e_pmDE plx e_plx
J034040.32+255048.3 03 40 40.32 25 50 48.27 20.0 0.4 -45.6 0.3 7.6 1.2
J034043.20+224953.8 03 40 43.20 22 49 53.83 20.7 0.3 -44.4 0.2 7.5 1.2
J034045.16+275040.4 03 40 45.16 27 50 40.37 17.4 1.3 -38.3 1.3 6.4 1.1
J034046.31+240925.7 03 40 46.31 24 09 25.70 20.8 0.4 -44.5 0.3 7.5 1.2
J034047.80+214321.9 03 40 47.80 21 43 21.85 20.5 0.4 -44.3 0.3 7.5 1.2
J034049.40+211255.3 03 40 49.40 21 12 55.26 20.7 0.5 -45.8 0.5 7.8 1.2
J034051.45+193246.1 03 40 51.45 19 32 46.06 21.9 0.5 -46.2 0.4 7.9 1.3
J034051.82+231350.4 03 40 51.82 23 13 50.43 22.9 0.3 -45.3 0.2 7.8 1.2
J034054.47+225425.7 03 40 54.47 22 54 25.67 21.1 0.3 -43.9 0.2 7.5 1.2
J034055.05+222058.7 03 40 55.05 22 20 58.69 18.6 0.3 -45.2 0.3 7.5 1.2
J034055.30+253457.4 03 40 55.30 25 34 57.39 20.3 0.7 -46.9 0.6 7.8 1.2
J034056.06+284339.0 03 40 56.06 28 43 38.97 15.1 1.8 -41.2 1.8 6.6 1.1
J034100.39+241335.1 03 41 00.39 24 13 35.12 20.6 0.4 -45.4 0.4 7.6 1.2
J034101.99+245521.2 03 41 01.99 24 55 21.23 16.9 0.4 -41.0 0.3 6.8 1.1
J034102.99+234321.5 03 41 02.99 23 43 21.54 19.5 0.3 -43.5 0.2 7.3 1.2
J034104.15+253025.5 03 41 04.15 25 30 25.47 18.3 0.9 -43.5 0.9 7.2 1.2
J034105.22+235015.1 03 41 05.22 23 50 15.12 21.7 0.4 -44.1 0.3 7.5 1.2
J034105.41+233256.7 03 41 05.41 23 32 56.71 22.5 0.4 -44.9 0.3 7.7 1.2
J034110.27+254556.0 03 41 10.27 25 45 56.02 20.5 0.4 -47.2 0.3 7.9 1.3
J034111.53+261618.9 03 41 11.53 26 16 18.89 18.5 0.7 -42.9 0.7 7.1 1.2
J034113.20+240525.6 03 41 13.20 24 05 25.60 18.4 1.4 -42.0 1.4 7.0 1.2
J034119.35+235141.7 03 41 19.35 23 51 41.74 19.6 0.4 -44.5 0.4 7.5 1.2
J034119.86+250649.2 03 41 19.86 25 06 49.18 20.6 0.4 -49.9 0.3 8.3 1.3
J034120.00+223753.8 03 41 20.00 22 37 53.77 19.0 0.3 -44.3 0.2 7.4 1.2
J034122.44+242351.7 03 41 22.44 24 23 51.74 19.6 0.3 -47.2 0.2 7.8 1.2
J034122.88+235548.1 03 41 22.88 23 55 48.08 21.3 0.5 -44.6 0.5 7.6 1.2
J034122.97+232913.0 03 41 22.97 23 29 12.98 22.3 0.9 -44.5 0.9 7.6 1.2
J034123.47+220154.0 03 41 23.47 22 01 53.99 18.6 0.3 -44.8 0.2 7.5 1.2
J034124.69+252305.7 03 41 24.69 25 23 05.69 18.3 1.0 -42.2 0.9 7.0 1.2
J034125.32+223256.0 03 41 25.32 22 32 56.03 21.7 0.3 -45.2 0.2 7.7 1.2
J034125.97+231535.6 03 41 25.97 23 15 35.64 19.4 1.0 -50.1 1.0 8.2 1.3
J034126.36+230802.7 03 41 26.36 23 08 02.70 21.2 0.3 -44.9 0.2 7.6 1.2
J034130.35+251706.1 03 41 30.35 25 17 06.12 19.5 0.4 -46.6 0.3 7.7 1.2
J034130.71+251152.2 03 41 30.71 25 11 52.20 19.4 1.6 -40.7 1.6 6.9 1.2
J034131.20+240324.9 03 41 31.20 24 03 24.91 19.5 0.3 -45.8 0.2 7.6 1.2
J034132.47+230941.8 03 41 32.47 23 09 41.80 17.7 1.0 -47.3 1.0 7.8 1.2
J034133.58+270950.0 03 41 33.58 27 09 50.04 19.8 1.9 -47.8 1.9 7.9 1.3
J034133.72+250648.5 03 41 33.72 25 06 48.51 19.0 0.3 -43.8 0.2 7.3 1.2
J034134.79+233815.7 03 41 34.79 23 38 15.67 20.5 0.3 -45.7 0.2 7.7 1.2
J034137.25+250832.8 03 41 37.25 25 08 32.77 19.9 0.3 -46.0 0.2 7.7 1.2
J034138.81+242309.2 03 41 38.81 24 23 09.22 19.3 0.3 -45.0 0.2 7.5 1.2
J034138.86+221640.3 03 41 38.86 22 16 40.29 20.0 0.4 -46.0 0.3 7.7 1.2
J034139.59+234546.9 03 41 39.59 23 45 46.94 20.2 0.3 -48.9 0.2 8.1 1.3
J034139.84+245230.1 03 41 39.84 24 52 30.11 20.4 0.3 -46.4 0.2 7.8 1.2
J034140.90+255424.2 03 41 40.90 25 54 24.23 20.0 0.5 -46.5 0.4 7.7 1.2
J034142.41+235457.2 03 41 42.41 23 54 57.21 21.0 0.4 -45.2 0.3 7.7 1.2
J034143.72+230759.8 03 41 43.72 23 07 59.85 20.5 0.3 -43.9 0.2 7.5 1.2
J034143.95+250330.5 03 41 43.95 25 03 30.49 19.6 0.7 -46.5 0.6 7.7 1.2
J034145.07+222801.7 03 41 45.07 22 28 01.70 17.5 0.9 -43.6 0.8 7.2 1.2
J034146.67+230119.6 03 41 46.67 23 01 19.55 23.0 0.5 -43.9 0.5 7.6 1.2
J034147.08+250021.9 03 41 47.08 25 00 21.92 20.5 0.4 -45.0 0.3 7.6 1.2
J034147.10+225124.9 03 41 47.10 22 51 24.90 18.3 0.8 -45.3 0.7 7.5 1.2
J034151.50+241927.3 03 41 51.50 24 19 27.34 18.4 0.3 -43.2 0.2 7.2 1.2
J034152.31+244157.6 03 41 52.31 24 41 57.59 22.7 0.3 -49.4 0.2 8.3 1.3
J034152.94+240724.8 03 41 52.94 24 07 24.84 19.3 0.3 -44.8 0.2 7.5 1.2
J034153.05+270442.9 03 41 53.05 27 04 42.91 18.1 1.8 -42.2 1.9 7.0 1.2
J034154.16+230504.8 03 41 54.16 23 05 04.82 20.9 0.4 -46.3 0.3 7.8 1.2
J034154.21+254347.1 03 41 54.21 25 43 47.08 21.8 0.4 -46.4 0.3 7.8 1.2
J034156.49+270257.9 03 41 56.49 27 02 57.90 16.7 1.7 -42.6 1.7 7.0 1.2
J034157.74+234005.9 03 41 57.74 23 40 05.92 19.7 0.3 -45.7 0.3 7.6 1.2
J034158.65+225701.9 03 41 58.65 22 57 01.95 21.7 0.3 -45.8 0.2 7.8 1.2
J034158.86+261221.2 03 41 58.86 26 12 21.24 19.5 0.4 -43.7 0.3 7.3 1.2
J034158.94+251944.2 03 41 58.94 25 19 44.20 19.4 0.4 -44.8 0.3 7.5 1.2
J034159.07+255515.2 03 41 59.07 25 55 15.17 21.3 0.4 -44.5 0.3 7.5 1.2
J034159.66+244218.4 03 41 59.66 24 42 18.35 18.0 0.3 -41.3 0.2 6.9 1.1
J034159.74+262739.8 03 41 59.74 26 27 39.79 21.2 0.4 -48.7 0.3 8.1 1.3
J034200.02+250147.2 03 42 00.02 25 01 47.18 20.1 0.3 -44.5 0.2 7.5 1.2
J034200.37+241012.8 03 42 00.37 24 10 12.78 20.2 0.3 -44.3 0.2 7.5 1.2
J034201.68+222326.7 03 42 01.68 22 23 26.75 21.5 0.3 -46.4 0.2 7.9 1.3
J034202.87+241236.2 03 42 02.87 24 12 36.23 20.2 0.3 -45.5 0.2 7.6 1.2
J034202.93+235553.9 03 42 02.93 23 55 53.87 20.3 0.4 -44.2 0.3 7.5 1.2
J034203.42+252239.0 03 42 03.42 25 22 38.97 16.5 0.9 -42.3 0.8 6.9 1.1
J034203.54+251917.9 03 42 03.54 25 19 17.88 19.2 0.4 -47.0 0.3 7.8 1.2
J034204.72+255308.9 03 42 04.72 25 53 08.91 20.6 0.5 -50.3 0.4 8.3 1.3
J034204.87+253947.5 03 42 04.87 25 39 47.52 17.9 0.4 -43.5 0.3 7.2 1.2
J034205.75+230714.4 03 42 05.75 23 07 14.42 17.2 0.7 -41.6 0.7 6.9 1.1
J034208.29+253659.9 03 42 08.29 25 36 59.89 19.1 0.4 -44.9 0.3 7.5 1.2
J034210.61+221805.5 03 42 10.61 22 18 05.48 20.7 0.4 -47.3 0.3 8.0 1.3
J034210.92+240508.5 03 42 10.92 24 05 08.51 21.7 0.3 -44.7 0.2 7.6 1.2
J034210.99+254435.1 03 42 10.99 25 44 35.09 19.4 0.5 -45.0 0.4 7.5 1.2
J034212.62+264944.9 03 42 12.62 26 49 44.93 18.3 1.5 -41.8 1.5 7.0 1.2
J034213.49+241849.8 03 42 13.49 24 18 49.78 18.1 0.3 -44.6 0.2 7.4 1.2
J034213.90+202143.6 03 42 13.90 20 21 43.63 19.0 0.6 -50.8 0.5 8.4 1.3
J034215.36+231131.2 03 42 15.36 23 11 31.18 21.3 0.3 -45.5 0.3 7.7 1.2
J034217.90+240657.7 03 42 17.90 24 06 57.74 19.4 0.3 -44.0 0.2 7.4 1.2
J034218.02+245509.9 03 42 18.02 24 55 09.86 18.8 0.4 -45.9 0.3 7.6 1.2
J034222.25+243952.3 03 42 22.25 24 39 52.27 19.7 1.8 -45.6 1.8 7.6 1.2
J034224.00+212824.6 03 42 24.00 21 28 24.57 23.3 0.9 -48.4 0.9 8.3 1.3
J034224.93+274215.5 03 42 24.93 27 42 15.49 19.6 2.1 -38.7 2.1 6.6 1.1
J034226.27+235138.8 03 42 26.27 23 51 38.77 21.0 0.3 -43.9 0.2 7.5 1.2
J034226.30+241407.7 03 42 26.30 24 14 07.67 17.4 0.4 -44.4 0.3 7.3 1.2
J034226.30+225340.4 03 42 26.30 22 53 40.35 19.3 0.7 -46.1 0.7 7.7 1.2
J034227.31+223424.5 03 42 27.31 22 34 24.54 18.5 0.9 -42.7 0.9 7.2 1.2
J034227.85+203634.6 03 42 27.85 20 36 34.57 17.4 1.8 -39.5 1.8 6.7 1.1
